,x,y,label,replicate,barcode
0,-5.0,-5.0,cond_1,cond_1_rep1,barcode1
1,-4.67741935483871,-5.0,cond_1,cond_1_rep1,barcode2
2,-4.354838709677419,-5.0,cond_1,cond_1_rep1,barcode3
3,-4.032258064516129,-5.0,cond_1,cond_1_rep1,barcode4
4,-3.709677419354839,-5.0,cond_1,cond_1_rep1,barcode5
5,-3.3870967741935485,-5.0,cond_1,cond_1_rep1,barcode6
6,-3.064516129032258,-5.0,cond_1,cond_1_rep1,barcode7
7,-2.741935483870968,-5.0,cond_1,cond_1_rep1,barcode8
8,-2.4193548387096775,-5.0,cond_1,cond_1_rep1,barcode9
9,-2.096774193548387,-5.0,cond_1,cond_1_rep1,barcode10
10,-1.774193548387097,-5.0,cond_1,cond_1_rep1,barcode11
11,-1.4516129032258065,-5.0,cond_1,cond_1_rep1,barcode12
12,-1.129032258064516,-5.0,cond_1,cond_1_rep1,barcode13
13,-0.806451612903226,-5.0,cond_1,cond_1_rep1,barcode14
14,-0.48387096774193594,-5.0,cond_1,cond_1_rep1,barcode15
15,-0.16129032258064502,-5.0,cond_1,cond_1_rep1,barcode16
16,0.16129032258064502,-5.0,cond_1,cond_1_rep1,barcode17
17,0.48387096774193505,-5.0,cond_1,cond_1_rep1,barcode18
18,0.806451612903226,-5.0,cond_1,cond_1_rep1,barcode19
19,1.129032258064516,-5.0,cond_1,cond_1_rep1,barcode20
20,1.451612903225806,-5.0,cond_1,cond_1_rep1,barcode21
21,1.774193548387097,-5.0,cond_1,cond_1_rep1,barcode22
22,2.096774193548387,-5.0,cond_1,cond_1_rep1,barcode23
23,2.419354838709677,-5.0,cond_1,cond_1_rep1,barcode24
24,2.741935483870968,-5.0,cond_1,cond_1_rep1,barcode25
25,3.064516129032258,-5.0,cond_1,cond_1_rep1,barcode26
26,3.387096774193548,-5.0,cond_1,cond_1_rep1,barcode27
27,3.709677419354838,-5.0,cond_1,cond_1_rep1,barcode28
28,4.032258064516128,-5.0,cond_1,cond_1_rep1,barcode29
29,4.35483870967742,-5.0,cond_1,cond_1_rep1,barcode30
30,4.67741935483871,-5.0,cond_1,cond_1_rep1,barcode31
31,5.0,-5.0,cond_1,cond_1_rep1,barcode32
32,-5.0,-4.67741935483871,cond_1,cond_1_rep1,barcode33
33,-4.67741935483871,-4.67741935483871,cond_1,cond_1_rep1,barcode34
34,-4.354838709677419,-4.67741935483871,cond_1,cond_1_rep1,barcode35
35,-4.032258064516129,-4.67741935483871,cond_1,cond_1_rep1,barcode36
36,-3.709677419354839,-4.67741935483871,cond_1,cond_1_rep1,barcode37
37,-3.3870967741935485,-4.67741935483871,cond_1,cond_1_rep1,barcode38
38,-3.064516129032258,-4.67741935483871,cond_1,cond_1_rep1,barcode39
39,-2.741935483870968,-4.67741935483871,cond_1,cond_1_rep1,barcode40
40,-2.4193548387096775,-4.67741935483871,cond_1,cond_1_rep1,barcode41
41,-2.096774193548387,-4.67741935483871,cond_1,cond_1_rep1,barcode42
42,-1.774193548387097,-4.67741935483871,cond_1,cond_1_rep1,barcode43
43,-1.4516129032258065,-4.67741935483871,cond_1,cond_1_rep1,barcode44
44,-1.129032258064516,-4.67741935483871,cond_1,cond_1_rep1,barcode45
45,-0.806451612903226,-4.67741935483871,cond_1,cond_1_rep1,barcode46
46,-0.48387096774193594,-4.67741935483871,cond_1,cond_1_rep1,barcode47
47,-0.16129032258064502,-4.67741935483871,cond_1,cond_1_rep1,barcode48
48,0.16129032258064502,-4.67741935483871,cond_1,cond_1_rep1,barcode49
49,0.48387096774193505,-4.67741935483871,cond_1,cond_1_rep1,barcode50
50,0.806451612903226,-4.67741935483871,cond_1,cond_1_rep1,barcode51
51,1.129032258064516,-4.67741935483871,cond_1,cond_1_rep1,barcode52
52,1.451612903225806,-4.67741935483871,cond_1,cond_1_rep1,barcode53
53,1.774193548387097,-4.67741935483871,cond_1,cond_1_rep1,barcode54
54,2.096774193548387,-4.67741935483871,cond_1,cond_1_rep1,barcode55
55,2.419354838709677,-4.67741935483871,cond_1,cond_1_rep1,barcode56
56,2.741935483870968,-4.67741935483871,cond_1,cond_1_rep1,barcode57
57,3.064516129032258,-4.67741935483871,cond_1,cond_1_rep1,barcode58
58,3.387096774193548,-4.67741935483871,cond_1,cond_1_rep1,barcode59
59,3.709677419354838,-4.67741935483871,cond_1,cond_1_rep1,barcode60
60,4.032258064516128,-4.67741935483871,cond_1,cond_1_rep1,barcode61
61,4.35483870967742,-4.67741935483871,cond_1,cond_1_rep1,barcode62
62,4.67741935483871,-4.67741935483871,cond_1,cond_1_rep1,barcode63
63,5.0,-4.67741935483871,cond_1,cond_1_rep1,barcode64
64,-5.0,-4.354838709677419,cond_1,cond_1_rep1,barcode65
65,-4.67741935483871,-4.354838709677419,cond_1,cond_1_rep1,barcode66
66,-4.354838709677419,-4.354838709677419,cond_1,cond_1_rep1,barcode67
67,-4.032258064516129,-4.354838709677419,cond_1,cond_1_rep1,barcode68
68,-3.709677419354839,-4.354838709677419,cond_1,cond_1_rep1,barcode69
69,-3.3870967741935485,-4.354838709677419,cond_1,cond_1_rep1,barcode70
70,-3.064516129032258,-4.354838709677419,cond_1,cond_1_rep1,barcode71
71,-2.741935483870968,-4.354838709677419,cond_1,cond_1_rep1,barcode72
72,-2.4193548387096775,-4.354838709677419,cond_1,cond_1_rep1,barcode73
73,-2.096774193548387,-4.354838709677419,cond_1,cond_1_rep1,barcode74
74,-1.774193548387097,-4.354838709677419,cond_1,cond_1_rep1,barcode75
